METRICS,R-TCC,R-TCD,R-TCI-TD,R-TCI-TS,R-TCI-1,R-TCI-2,R-TCI-3,R-TCI-4,R-TCI-5,R-AVE,MB-TCC,MB-TCD,MB-TCI-TD,MB-TCI-TS,MB-TCI-1,MB-TCI-2,MB-TCI-3,MB-TCI-4,MB-TCI-5,MB-AVE,SCorr-TCTD,OPEI
EXP32,0.486480081,0.710439929,0.002479236,0.427592409,0,0,0,0.344515748,0.085772399,0.228586645,0.532374101,0.749496475,0,0.618232595,0,0,0,0.571228042,0.151838825,0.291463338,0.70163,0.74514074
EXP33,0.395512186,0.161631231,0.224543231,0.062352535,0.013044953,0,0,0,0,0.095231571,0.395683453,0.168429003,0.322924384,0.070298402,0.806899629,0.309480728,0,0.043129765,0,0.23520504,0.0679087,0.024243021
EXP37,0.831280009,0.475592288,0.002479236,0.039255317,0,0,0,0.50773584,0,0.206260299,0.956834532,0.495468278,0,0.054948926,0,0,0,0.693670393,0.046805009,0.24974746,0.690829,0.567259797
EXP38,0.562095603,0.274782213,0.002479236,0.072052405,0,0,0,0.184792876,0,0.121800259,0.618705036,0.286253776,0,0.084394672,0,0,0,0.292521828,0,0.14243059,0.664559,0.18376977
EXP39,0.042057222,0.011795146,0.002479236,0,0.368045512,0.049089976,0,0,0,0.052607455,0.050359712,0.020140987,0,0,0.417007093,0.162462224,0,0,0,0.072218891,0.20706,0.012536277
EXP40,0.670711007,0.489909997,0.002479236,0.09215574,0,0,0,0.296985478,0.261479873,0.201524592,0.949640288,0.525176234,0,0.128375767,0,0,0,0.900121856,0.348940878,0.316917225,0.714688,0.727588302
EXP41,0.63000314,0.324200292,0.002479236,0.097472905,0,0,0,0.433511915,0.094278683,0.175771797,0.73381295,0.342900302,0,0.138273343,0,0,0,0.655726375,0.190077647,0.228976735,0.663927,0.425946154
EXP42,0.431700211,0.159137729,0.002479236,0.101996197,0.163083266,0.234768643,0,0.227665703,0,0.146758998,0.45323741,0.16490433,0,0.111416335,0.476154849,0.568727425,0,0.475484137,0,0.24999161,0.502664,0.29396806
EXP43,0.852561859,0.576358715,0.002479236,0.084462215,0.008,0,0,0.66733877,0.289630723,0.275647946,0.942446043,0.58509567,0,0.112349378,0.01,0,0,0.950531237,0.345225984,0.327294257,0.695362,1
EXP44,0.799720706,0.379314182,0.002479236,0.132975415,0.006,0,0,0.556251492,0.083874162,0.217846132,0.877697842,0.39224572,0,0.162038502,0.01,0,0,0.904891255,0.149898308,0.27741907,0.641481,0.617966465
EXP45,0.28273706,0.12274336,0.150972071,0.005070612,0.128817498,0.248477363,0.382956404,0,0,0.146863819,0.294964029,0.130664653,0.66997094,0.028494408,0.593811768,0.309338061,0.135123878,0,0,0.240263082,0.051047,0.028708847
EXP47,1.00E-04,0.00605266,0.002479236,0,0,0,0,0,0,0.0009591,0.007194245,0.002265861,0,0,0.066198053,0,0,0,0,0.008406462,0.06,4.16E-06
